Teknik;Metode;Target Organisme;Rujukan
Observatif;Quadrat plot;Tumbuhan;(Elzinga et al., 2009)
Observatif;Point count;Burung;(Buckland, 2006)
Observatif;Line transect;Burung, mamalia dan primata;(Anderson et al., 1979)
Observatif;Recce walk;Mamalia, reptil dan amfibi;(Heyer et al., 1994)
Observatif;Visual encounter survey;Reptil dan amfibi;(Heyer et al., 1994)
Penangkapan;Passive acoustic monitoring;Burung, kelelawar pemakan serangga, amfibi;(Browning et al., 2017)
Penangkapan;Live trap;Mamalia (Tikus dan bajing);(Bovendorp et al., 2017)
Penangkapan;Mist net;Burung, kelelawar pemakan buah;(Prasetyo et al., 2011)
Penangkapan;Harp trap;kelelawar;(Prasetyo et al., 2011)
Penangkapan;Camera trap;Burung terestrial, mamalia berukuran sedang - besar;(Rovero & Zimmermann, 2016)
